"","year","exp_total","exp_min","exp_fuels","exp_other"
"703",1995,148779500,3145749.659,4946095.057,140687655.284
"704",1996,151047461.8,2632209.935,5693602.45,142721649.415
"705",1997,182791584.8,3763822.224,6525796.596,172501965.98
"706",1998,183808987.8,3658458.664,4729176.015,175421353.121
"707",1999,194930778.5,3808069.234,4107894.626,187014814.64
"708",2000,249202551,4724203.036,7266341.94,237212006.024
"709",2001,266098208.6,4763910.148,7749170.538,253585127.914
"710",2002,325595969.8,5490908.283,7816844.837,312288216.68
"711",2003,438227767.4,7242822.665,10430761.65,420554183.085
"712",2004,593325581.4,11133914.16,13870505.46,568321161.78
"713",2005,761953409.5,13515666.28,16905196.79,731532546.43
"714",2006,968935601,20716627.87,17046635.35,931172337.78
"715",2007,1220059668,21647238.01,20018922.4,1178393507.59
"716",2008,1430693066,22674844.71,30781193.18,1377237028.11
"717",2009,1201646758,14482956.53,19303916.89,1167859884.58
"718",2010,1577763751,21627452.56,25499899.31,1530636399.13
"719",2011,1898388435,28245416.64,31036472.15,1839106546.21
"720",2012,2048782233,26622930.62,29780791.98,1992378510.4
